max_depth,min_samples_leaf,train_acc,test_acc,overfitting_gap
3,1,0.9415584415584416,0.84,0.10155844155844163
3,2,0.9415584415584416,0.84,0.10155844155844163
3,3,0.9415584415584416,0.84,0.10155844155844163
3,4,0.9415584415584416,0.84,0.10155844155844163
3,5,0.935064935064935,0.84,0.09506493506493507
4,1,0.9675324675324676,0.86,0.10753246753246759
4,2,0.961038961038961,0.86,0.10103896103896104
4,3,0.948051948051948,0.84,0.10805194805194807
4,4,0.948051948051948,0.86,0.08805194805194805
4,5,0.948051948051948,0.86,0.08805194805194805
5,1,0.987012987012987,0.84,0.14701298701298704
5,2,0.974025974025974,0.84,0.13402597402597405
5,3,0.9675324675324676,0.84,0.1275324675324676
5,4,0.948051948051948,0.86,0.08805194805194805
5,5,0.948051948051948,0.86,0.08805194805194805
6,1,1.0,0.82,0.18000000000000005
6,2,0.987012987012987,0.84,0.14701298701298704
6,3,0.961038961038961,0.82,0.14103896103896107
6,4,0.9545454545454546,0.86,0.0945454545454546
6,5,0.948051948051948,0.86,0.08805194805194805
8,1,1.0,0.84,0.16000000000000003
8,2,0.987012987012987,0.86,0.12701298701298702
8,3,0.974025974025974,0.82,0.15402597402597407
8,4,0.9545454545454546,0.86,0.0945454545454546
8,5,0.948051948051948,0.86,0.08805194805194805
10,1,1.0,0.86,0.14
10,2,0.987012987012987,0.86,0.12701298701298702
10,3,0.974025974025974,0.82,0.15402597402597407
10,4,0.9545454545454546,0.86,0.0945454545454546
10,5,0.948051948051948,0.86,0.08805194805194805
